ElapsedTime,Text,Tindoor,Tdepart,Tretour,Debit_eau,Conso_energetique_integrale
1576800,-0.153,21.511,318.567,313.994,0.200,421.009
1580400,-0.269,21.508,318.727,314.125,0.200,422.444
1584000,-0.114,21.506,318.773,314.183,0.200,424.200
1587600,0.158,21.505,318.695,314.141,0.200,425.312
1591200,0.529,21.500,318.471,313.980,0.200,426.708
1594800,0.714,21.493,318.248,313.798,0.200,428.074
1598400,0.862,21.488,318.109,313.682,0.200,429.424
1602000,1.041,21.485,317.922,313.533,0.200,431.305
1605600,1.054,21.484,317.866,313.483,0.200,432.077
1609200,1.110,21.486,317.822,313.448,0.200,433.394
1612800,1.222,21.479,317.750,313.393,0.200,434.856
1616400,1.201,21.461,317.694,313.340,0.200,436.067
1620000,1.210,21.445,317.706,313.343,0.200,437.311
1623600,1.310,21.433,317.666,313.315,0.200,438.611
1627200,1.410,21.422,317.601,313.264,0.200,439.904
1630800,1.510,21.412,317.526,313.205,0.200,441.188
1634400,1.568,21.400,317.453,313.144,0.200,442.464
1638000,1.610,21.390,317.420,313.112,0.200,443.736
1641600,1.614,21.380,317.369,313.069,0.200,445.003
1645200,1.589,21.371,317.389,313.077,0.200,446.274
1648800,1.843,21.369,317.335,313.053,0.200,447.539
1652400,1.910,21.360,317.191,312.934,0.200,448.783
1656000,1.810,21.347,317.180,312.908,0.200,450.029
1659600,1.793,21.340,317.217,312.935,0.200,451.281
1663200,1.852,21.336,317.191,312.921,0.200,452.530
1666800,1.910,21.332,317.172,312.908,0.200,453.777
1670400,2.031,21.326,317.102,312.856,0.200,455.279
1674000,2.070,21.321,317.050,312.814,0.200,456.248
1677600,2.089,21.320,317.020,312.785,0.200,457.476
1681200,2.629,21.340,316.812,312.659,0.200,459.152
1684800,2.810,21.348,316.635,312.524,0.200,459.872
1688400,2.910,21.360,316.459,312.376,0.200,461.029
1692000,2.810,21.365,316.363,312.286,0.200,462.176
1695600,2.710,21.368,316.451,312.345,0.200,463.338
1699200,2.747,21.364,316.427,312.334,0.200,465.051
1702800,2.612,21.356,316.420,312.316,0.200,465.722
1706400,2.312,21.341,316.628,312.454,0.200,466.836
1710000,1.988,21.334,316.793,312.577,0.200,468.040
1713600,1.740,21.333,317.073,312.795,0.200,469.281
1717200,1.824,21.341,317.179,312.904,0.200,470.532
1720800,1.788,21.341,317.181,312.907,0.200,471.780
1724400,1.510,21.332,317.284,312.967,0.200,473.041
1728000,1.258,21.327,317.467,313.102,0.200,474.326
1731600,0.978,21.325,317.644,313.237,0.200,475.634
1735200,0.227,21.314,317.975,313.455,0.200,476.984
1738800,-0.727,21.309,318.540,313.864,0.200,478.411
1742400,-2.575,21.302,319.526,314.565,0.200,480.316
1746000,-3.019,21.334,320.420,315.321,0.200,482.027
1749600,-3.436,21.351,320.721,315.579,0.200,483.343
1753200,-3.147,21.384,321.136,315.978,0.200,485.836
1756800,-3.151,21.381,321.056,315.901,0.200,487.513
1760400,-1.659,21.447,320.686,315.729,0.200,489.258
1764000,-0.359,21.520,320.131,315.383,0.200,490.265
1767600,1.491,21.643,318.826,314.440,0.200,491.684
1771200,2.998,21.719,317.538,313.452,0.200,492.934
1774800,4.128,21.798,316.365,312.537,0.200,494.039
1778400,4.417,21.798,315.551,311.824,0.200,495.133
1782000,4.705,21.790,315.214,311.534,0.200,496.051
1785600,4.728,21.752,314.912,311.263,0.200,497.011
1789200,4.440,21.672,314.954,311.243,0.200,498.114
